dataset,model,method,lambda_,shap_type,group,feature,mean_abs_shap,normalised_share,is_sensitive,is_proxy,sample_n,random_state
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,StandardHours,0.0,0.0,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,StockOptionLevel,0.3110121987647724,0.10926588334776358,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,TotalWorkingYears,0.1275638390843174,0.04481616996419459,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,TrainingTimesLastYear,0.05086122048965976,0.017868740219901365,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,WorkLifeBalance,0.0672330172187061,0.023620536576102354,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,YearsAtCompany,0.038769130826003285,0.013620505379379602,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,YearsInCurrentRole,0.008648223908266948,0.003038323990116973,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,YearsSinceLastPromotion,0.04890774142294077,0.017182437185248204,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Female,YearsWithCurrManager,0.10437553660018836,0.03666957518647719,False,False,116,42
oulad,LR,identity_preprocessing,0.0,global,all,code_module,0.04712184029655062,0.07634423710197584,False,False,500,42
oulad,LR,identity_preprocessing,0.0,global,all,code_presentation,0.07779693902989927,0.1260423600124411,False,False,500,42
oulad,LR,identity_preprocessing,0.0,global,all,gender,0.05391213903634643,0.087345508990378,True,False,500,42
oulad,LR,identity_preprocessing,0.0,global,all,region,0.004131697607110288,0.006693951249904474,False,False,500,42
oulad,LR,identity_preprocessing,0.0,global,all,highest_education,0.13012580057807213,0.21082272911875155,False,False,500,42
oulad,LR,identity_preprocessing,0.0,global,all,imd_band,0.1180568836485109,0.1912693277694855,False,False,500,42
